pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,13.0
1000,241,17.0
1000,282,22.333333333333332
1000,324,23.666666666666668
1000,365,26.0
1000,406,25.666666666666668
1000,448,28.0
1000,489,31.666666666666668
1000,531,35.0
1000,572,41.333333333333336
1000,613,37.0
1000,655,38.0
1000,696,44.333333333333336
1000,737,44.666666666666664
1000,779,45.0
1000,820,55.666666666666664
1000,862,46.666666666666664
1000,903,56.0
1000,944,61.0
1000,986,51.0
1000,1027,48.666666666666664
1000,1068,60.666666666666664
1000,1110,55.333333333333336
1000,1151,51.333333333333336
1000,1193,64.33333333333333
1000,1234,57.666666666666664
1000,1275,64.33333333333333
1000,1317,63.666666666666664
1000,1358,55.0
1000,1399,62.0
1172,200,12.666666666666666
1172,241,19.666666666666668
1172,282,20.0
1172,324,30.333333333333332
1172,365,29.0
1172,406,32.333333333333336
1172,448,32.333333333333336
1172,489,44.0
1172,531,42.0
1172,572,46.666666666666664
1172,613,45.666666666666664
1172,655,42.666666666666664
1172,696,44.666666666666664
1172,737,48.0
1172,779,56.0
1172,820,54.666666666666664
1172,862,60.666666666666664
1172,903,62.666666666666664
1172,944,55.333333333333336
1172,986,59.666666666666664
1172,1027,60.333333333333336
1172,1068,61.333333333333336
1172,1110,69.33333333333333
1172,1151,59.666666666666664
1172,1193,59.0
1172,1234,67.0
1172,1275,71.33333333333333
1172,1317,77.33333333333333
1172,1358,67.0
1172,1399,67.66666666666667
1344,200,22.666666666666668
1344,241,28.0
1344,282,27.666666666666668
1344,324,32.0
1344,365,38.0
1344,406,37.333333333333336
1344,448,49.666666666666664
1344,489,39.333333333333336
1344,531,47.0
1344,572,56.0
1344,613,52.333333333333336
1344,655,61.666666666666664
1344,696,47.0
1344,737,52.666666666666664
1344,779,68.66666666666667
1344,820,58.333333333333336
1344,862,57.0
1344,903,64.0
1344,944,68.33333333333333
1344,986,60.666666666666664
1344,1027,63.333333333333336
1344,1068,68.0
1344,1110,70.0
1344,1151,65.33333333333333
1344,1193,73.66666666666667
1344,1234,76.33333333333333
1344,1275,73.0
1344,1317,69.66666666666667
1344,1358,79.66666666666667
1344,1399,72.66666666666667
1517,200,20.333333333333332
1517,241,20.666666666666668
1517,282,30.0
1517,324,32.0
1517,365,39.0
1517,406,39.0
1517,448,40.666666666666664
1517,489,42.666666666666664
1517,531,51.0
1517,572,45.666666666666664
1517,613,57.666666666666664
1517,655,62.0
1517,696,59.333333333333336
1517,737,57.0
1517,779,61.333333333333336
1517,820,63.333333333333336
1517,862,67.0
1517,903,70.0
1517,944,71.66666666666667
1517,986,77.0
1517,1027,69.33333333333333
1517,1068,81.0
1517,1110,82.0
