pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,4.666666666666667
1000,241,11.0
1000,282,10.333333333333334
1000,324,8.0
1000,365,10.0
1000,406,13.666666666666666
1000,448,16.333333333333332
1000,489,14.333333333333334
1000,531,16.333333333333332
1000,572,17.333333333333332
1000,613,20.333333333333332
1000,655,16.333333333333332
1000,696,22.0
1000,737,24.333333333333332
1000,779,25.333333333333332
1000,820,23.666666666666668
1000,862,31.0
1000,903,32.0
1000,944,29.333333333333332
1000,986,34.333333333333336
1000,1027,37.0
1000,1068,31.666666666666668
1000,1110,29.666666666666668
1000,1151,33.666666666666664
1000,1193,39.0
1000,1234,37.0
1000,1275,38.666666666666664
1000,1317,50.333333333333336
1000,1358,45.333333333333336
1000,1399,49.0
1172,200,7.666666666666667
1172,241,7.666666666666667
1172,282,8.666666666666666
1172,324,12.0
1172,365,9.666666666666666
1172,406,12.333333333333334
1172,448,18.0
1172,489,14.333333333333334
1172,531,27.0
1172,572,19.0
1172,613,22.0
1172,655,27.333333333333332
1172,696,29.0
1172,737,28.666666666666668
1172,779,30.0
1172,820,26.333333333333332
1172,862,35.333333333333336
1172,903,35.333333333333336
1172,944,36.666666666666664
1172,986,42.0
1172,1027,32.333333333333336
1172,1068,41.0
1172,1110,38.666666666666664
1172,1151,45.666666666666664
1172,1193,44.333333333333336
1172,1234,49.333333333333336
1172,1275,53.666666666666664
1172,1317,52.0
1172,1358,50.0
1172,1399,46.333333333333336
1344,200,7.0
1344,241,8.666666666666666
1344,282,12.666666666666666
1344,324,13.666666666666666
1344,365,19.0
1344,406,20.666666666666668
1344,448,16.666666666666668
1344,489,21.333333333333332
1344,531,22.666666666666668
1344,572,26.333333333333332
1344,613,30.0
1344,655,28.333333333333332
1344,696,33.0
1344,737,25.0
1344,779,33.0
1344,820,39.333333333333336
1344,862,34.0
1344,903,36.666666666666664
1344,944,31.666666666666668
1344,986,44.0
1344,1027,43.0
1344,1068,47.333333333333336
1344,1110,56.333333333333336
1344,1151,54.333333333333336
1344,1193,51.666666666666664
1344,1234,49.0
1344,1275,52.0
1344,1317,52.0
1344,1358,55.666666666666664
1344,1399,63.0
1517,200,11.333333333333334
1517,241,8.0
1517,282,13.333333333333334
1517,324,18.0
1517,365,18.0
1517,406,26.333333333333332
1517,448,23.0
1517,489,23.666666666666668
1517,531,28.333333333333332
1517,572,32.0
1517,613,30.666666666666668
1517,655,28.0
1517,696,33.0
1517,737,36.0
1517,779,34.666666666666664
1517,820,39.0
1517,862,41.0
1517,903,38.666666666666664
1517,944,45.0
1517,986,44.666666666666664
1517,1027,50.0
1517,1068,49.333333333333336
1517,1110,51.333333333333336
1517,1151,61.0
1517,1193,64.0
1517,1234,59.666666666666664
1517,1275,64.33333333333333
1517,1317,54.666666666666664
1517,1358,61.333333333333336
1517,1399,77.33333333333333
1689,200,12.333333333333334
1689,241,10.666666666666666
1689,282,14.666666666666666
1689,324,13.666666666666666
1689,365,17.0
1689,406,24.0
1689,448,28.333333333333332
1689,489,24.666666666666668
1689,531,29.333333333333332
1689,572,32.666666666666664
1689,613,30.333333333333332
1689,655,34.666666666666664
1689,696,37.666666666666664
1689,737,41.0
1689,779,42.333333333333336
1689,820,39.0
1689,862,40.666666666666664
1689,903,53.0
1689,944,53.666666666666664
1689,986,51.333333333333336
1689,1027,55.666666666666664
1689,1068,50.0
1689,1110,63.0
1689,1151,53.666666666666664
1689,1193,75.0
1689,1234,57.0
1689,1275,64.66666666666667
1689,1317,66.0
1689,1358,63.666666666666664
1689,1399,71.33333333333333
1862,200,11.666666666666666
1862,241,12.666666666666666
1862,282,12.666666666666666
1862,324,23.0
1862,365,17.0
1862,406,33.0
1862,448,18.666666666666668
1862,489,27.0
1862,531,24.666666666666668
1862,572,38.0
1862,613,31.333333333333332
1862,655,34.0
1862,696,43.666666666666664
1862,737,49.0
1862,779,38.333333333333336
1862,820,46.666666666666664
1862,862,51.333333333333336
1862,903,48.333333333333336
1862,944,49.666666666666664
1862,986,51.666666666666664
1862,1027,62.333333333333336
1862,1068,68.0
1862,1110,64.66666666666667
1862,1151,72.0
1862,1193,73.33333333333333
