pedestrian_arrival_rate,vehicle_arrival_rate,conflicts
1000,200,12.0
1000,241,20.0
1000,282,18.0
1000,324,27.0
1000,365,23.0
1000,406,29.0
1000,448,33.0
1000,489,38.0
1000,531,45.0
1000,572,40.0
1000,613,55.0
1000,655,42.0
1000,696,46.0
1000,737,54.0
1000,779,59.0
1000,820,57.0
1000,862,60.0
1000,903,46.0
1000,944,63.0
1000,986,41.0
1000,1027,52.0
1000,1068,64.0
1000,1110,66.0
1000,1151,73.0
1000,1193,77.0
1000,1234,78.0
1000,1275,81.0
1000,1317,82.0
1000,1358,100.0
1000,1399,78.0
1172,200,17.0
1172,241,31.0
1172,282,26.0
1172,324,29.0
1172,365,31.0
1172,406,35.0
1172,448,28.0
1172,489,37.0
1172,531,45.0
1172,572,49.0
1172,613,42.0
1172,655,47.0
1172,696,62.0
1172,737,57.0
1172,779,77.0
1172,820,69.0
1172,862,64.0
1172,903,80.0
1172,944,72.0
1172,986,67.0
1172,1027,64.0
1172,1068,73.0
1172,1110,82.0
1172,1151,83.0
1172,1193,93.0
1172,1234,69.0
1172,1275,91.0
1172,1317,82.0
1172,1358,85.0
1172,1399,93.0
1344,200,14.0
1344,241,16.0
1344,282,29.0
1344,324,34.0
1344,365,35.0
1344,406,17.0
1344,448,35.0
1344,489,54.0
1344,531,35.0
1344,572,55.0
1344,613,51.0
1344,655,60.0
1344,696,70.0
1344,737,52.0
1344,779,64.0
1344,820,60.0
1344,862,60.0
1344,903,68.0
1344,944,80.0
1344,986,85.0
1344,1027,88.0
1344,1068,83.0
1344,1110,75.0
1344,1151,85.0
1344,1193,77.0
1344,1234,90.0
1344,1275,82.0
1344,1317,90.0
1344,1358,84.0
1344,1399,104.0
1517,200,14.0
1517,241,18.0
1517,282,35.0
1517,324,45.0
1517,365,42.0
1517,406,35.0
1517,448,45.0
1517,489,42.0
1517,531,56.0
1517,572,49.0
1517,613,62.0
1517,655,60.0
1517,696,62.0
1517,737,71.0
1517,779,63.0
1517,820,70.0
1517,862,69.0
1517,903,82.0
1517,944,98.0
1517,986,79.0
1517,1027,81.0
1517,1068,103.0
1517,1110,85.0
1517,1151,93.0
1517,1193,110.0
1517,1234,92.0
1517,1275,95.0
1517,1317,116.0
1517,1358,94.0
1517,1399,92.0
1689,200,28.0
1689,241,24.0
1689,282,36.0
1689,324,39.0
1689,365,49.0
1689,406,42.0
1689,448,44.0
1689,489,55.0
1689,531,48.0
1689,572,66.0
1689,613,54.0
1689,655,73.0
1689,696,66.0
1689,737,63.0
1689,779,56.0
1689,820,65.0
1689,862,82.0
1689,903,97.0
1689,944,101.0
1689,986,79.0
1689,1027,80.0
1689,1068,75.0
1689,1110,93.0
1689,1151,114.0
1689,1193,76.0
1689,1234,116.0
1689,1275,101.0
1689,1317,112.0
1689,1358,114.0
1689,1399,119.0
1862,200,25.0
1862,241,24.0
1862,282,24.0
1862,324,39.0
1862,365,41.0
1862,406,44.0
1862,448,58.0
1862,489,50.0
1862,531,62.0
1862,572,62.0
1862,613,68.0
1862,655,71.0
1862,696,70.0
1862,737,89.0
1862,779,86.0
1862,820,76.0
1862,862,86.0
1862,903,105.0
1862,944,94.0
1862,986,93.0
1862,1027,103.0
1862,1068,84.0
1862,1110,106.0
1862,1151,86.0
1862,1193,85.0
1862,1234,119.0
1862,1275,77.0
1862,1317,103.0
1862,1358,132.0
1862,1399,125.0
2034,200,13.0
2034,241,22.0
2034,282,26.0
2034,324,31.0
2034,365,37.0
2034,406,38.0
2034,448,71.0
2034,489,50.0
2034,531,63.0
2034,572,61.0
2034,613,71.0
2034,655,88.0
2034,696,73.0
2034,737,76.0
2034,779,75.0
2034,820,77.0
2034,862,100.0
2034,903,92.0
2034,944,108.0
2034,986,96.0
2034,1027,92.0
2034,1068,103.0
2034,1110,86.0
2034,1151,98.0
2034,1193,118.0
2034,1234,110.0
2034,1275,109.0
2034,1317,117.0
2034,1358,110.0
2034,1399,124.0
2206,200,26.0
2206,241,21.0
2206,282,40.0
2206,324,22.0
2206,365,39.0
2206,406,49.0
2206,448,53.0
2206,489,52.0
2206,531,55.0
2206,572,87.0
2206,613,62.0
2206,655,62.0
2206,696,72.0
2206,737,81.0
2206,779,74.0
2206,820,103.0
2206,862,85.0
2206,903,95.0
2206,944,99.0
2206,986,87.0
2206,1027,77.0
2206,1068,106.0
2206,1110,96.0
2206,1151,103.0
2206,1193,120.0
2206,1234,116.0
2206,1275,114.0
2206,1317,118.0
2206,1358,109.0
2206,1399,124.0
2379,200,16.0
2379,241,22.0
2379,282,31.0
2379,324,36.0
2379,365,49.0
2379,406,38.0
2379,448,62.0
2379,489,62.0
2379,531,57.0
2379,572,79.0
2379,613,58.0
2379,655,67.0
2379,696,73.0
2379,737,75.0
2379,779,84.0
2379,820,89.0
2379,862,95.0
2379,903,95.0
2379,944,106.0
2379,986,101.0
2379,1027,105.0
2379,1068,107.0
2379,1110,124.0
2379,1151,93.0
2379,1193,103.0
2379,1234,124.0
2379,1275,154.0
2379,1317,98.0
2379,1358,132.0
2379,1399,119.0
2551,200,22.0
2551,241,37.0
2551,282,57.0
2551,324,42.0
2551,365,41.0
2551,406,62.0
2551,448,49.0
2551,489,49.0
2551,531,60.0
2551,572,69.0
2551,613,91.0
2551,655,79.0
2551,696,75.0
2551,737,80.0
2551,779,93.0
2551,820,109.0
2551,862,92.0
2551,903,103.0
2551,944,89.0
2551,986,96.0
2551,1027,117.0
2551,1068,81.0
2551,1110,119.0
2551,1151,113.0
2551,1193,121.0
2551,1234,131.0
2551,1275,107.0
2551,1317,120.0
2551,1358,139.0
2551,1399,123.0
2724,200,36.0
2724,241,35.0
2724,282,41.0
2724,324,41.0
2724,365,45.0
2724,406,61.0
2724,448,49.0
2724,489,76.0
2724,531,70.0
2724,572,60.0
2724,613,65.0
2724,655,89.0
2724,696,79.0
2724,737,110.0
2724,779,99.0
2724,820,104.0
2724,862,104.0
2724,903,126.0
2724,944,92.0
2724,986,97.0
2724,1027,120.0
2724,1068,118.0
2724,1110,110.0
2724,1151,118.0
2724,1193,110.0
2724,1234,118.0
2724,1275,134.0
2724,1317,134.0
2724,1358,144.0
2724,1399,141.0
2896,200,35.0
2896,241,44.0
2896,282,43.0
2896,324,38.0
2896,365,70.0
2896,406,56.0
2896,448,48.0
2896,489,50.0
2896,531,74.0
2896,572,62.0
2896,613,70.0
2896,655,92.0
2896,696,95.0
2896,737,88.0
2896,779,80.0
2896,820,73.0
2896,862,100.0
2896,903,110.0
2896,944,98.0
2896,986,108.0
2896,1027,102.0
2896,1068,83.0
2896,1110,116.0
2896,1151,120.0
2896,1193,111.0
2896,1234,121.0
2896,1275,101.0
2896,1317,136.0
2896,1358,130.0
2896,1399,161.0
3068,200,20.0
3068,241,39.0
3068,282,38.0
3068,324,35.0
3068,365,45.0
3068,406,48.0
3068,448,56.0
3068,489,54.0
3068,531,62.0
3068,572,61.0
3068,613,74.0
3068,655,90.0
3068,696,90.0
3068,737,73.0
3068,779,93.0
3068,820,113.0
3068,862,86.0
3068,903,108.0
